LUOGO,ID STAZIONE
ARONA,S01020
ALESSANDRIA,S00470
SORESINA,S01607
STRADELLA,S01945
SUZZARA,S02340
TAINO ANGERA,S01122
TALAMONA,S01426
TERNATE VARANO BORGHI,S01143
TERNO,S01504
FERRERA LOMELLINA,S00404
FIUMELATTE,S01412
CASALETTO VAPRIO,S01604
CASALMAGGIORE,S01850
CASALPUSTERLENGO,S01827
CASLETTO-ROGENO,S01457
CASORATE SEMPIONE,S01029
CASSAGO-NIBIONNO-BULCIAGO,S01490
CASSANO D`ADDA,S01707
CASTEGGIO,S01942
CASTEL D`ARIO,S02382
CASTELLEONE,S01606
CASTELLUCCHIO,S01923
CASTELVETRO,S01960
CASTIONE ANDEVENNO,S01429
CASTRONNO,S01208
CAVA CARBONARA,S00279
CAVA TIGOZZI,S01914
CAVARIA OGGIONA JERAGO,S01210
CERNUSCO-MERATE,S01513
CERTOSA DI PAVIA,S01803
BRESSANA ARGINE,S01930
BRESSANA BOTTARONE,S01805
BRONI,S01944
CHIARI,S01713
CHIAVENNA,S01400
CHIGNOLO PO,S01868
ASOLA,S01847
BOLOGNA C.LE,S05043
BORGOFORTE,S02338
BORGOLOMBARDO,S01830
BOZZOLO,S01920
BRENNA-ALZATE,S01452
BRESCIA,S01717
CANDIA LOMELLINA,S00333
CANNETO SULL`OGLIO,S01848
CANTU`- CERMENATE,S01313
CAPRALBA,S01603
CARAVAGGIO,S01602
CARIMATE,S01315
CARNATE USMATE,S01511
CASALBUTTANO,S01609
TORTONA,S01810
ABBADIA LARIANA,S01416
ABBIATEGRASSO,S01062
ACQUANEGRA CREMONESE,S01913
AIRUNO,S01515
ALBATE CAMERLATA,S01310
ALBATE-TRECALLO,S01450
ALBIZZATE SOLBIATE ARNO,S01209
ALBUZZANO,S01863
AMBIVERE MAPELLO,S01527
ANZANO DEL PARCO,S01453
ARCISATE,S01203
ARCORE,S01510
ARDENNO MASINO,S01427
ARENA PO,S01947
ROMANO,S01711
ROMANORE,S02337
ROVATO,S01714
ROVERBELLA,S02333
S.ANTONIO MANTOVANO,S02334
S. CRISTINA E BISSONE,S01866
PIACENZA,S05000
PIEVE ALBIGNOLA,S00402
BELLANO TARTAVELLE TERME,S01409
S.STEFANO LODIGIANO,S01829
S. ZENO FOLZANO,S01900
S. ZENONE AL LAMBRO,S01823
SAIRANO ZINASCO,S00400
SALA AL BARRO-GALBIATE,S01461
SAMOLACO,S01402
SANGIANO,S01140
SARTIRANA,S00038
MONTIRONE,S01840
MONZA,S01322
MONZA SOBBORGHI,S01480
MORBEGNO,S01425
MORENGO BARIANO,S01710
MORNAGO CIMBRO,S01144
MORTARA,S00034
MOTTEGGIANA,S02339
BUTTAFAVA,S01482
CALCIO,S01712
CALDE`,S01117
PARABIAGO,S01035
PARONA LOMELLINA,S01060
PAVIA,S01860
CORBETTA S. STEFANO,S01041
COSIO TRAONA,S01424
GAZZADA SCHIANNO MORAZZONE,S01207
GAZZO DI BIGARELLO,S02381
GHEDI,S01841
GONZAGA-REGGIOLO,S02344
GROPELLO CAIROLI,S00277
GRUMELLO DEL MONTE,S01537
INDUNO OLONA,S01204
ISPRA,S01121
LAMBRINIA,S01869
LAVENO MOMBELLO,S01118
LECCO,S01520
LECCO MAGGIANICO,S01522
LEGGIUNO MONVALLE,S01120
LEGNANO,S01033
BAGNOLO MELLA,S01901
CHIUDUNO,S01536
CHIURO,S01435
CISANO CAPRINO BERGAMASCO,S01525
CIVATE,S01462
COCCAGLIO,S01540
CODOGNO,S01828
